line_ID,character,line
86,Jim,35
86,Gabe,22
86,Erin,7
86,Dwight,48
86,Darryl,15
86,Angela,7
86,Andy,47
86,Kelly,5
87,Toby,4
87,Ryan,6
87,Robert,10
87,Phyllis,2
87,Pam,65
87,Oscar,4
87,Kevin,15
87,Erin,13
87,Jim,40
87,Gabe,2
87,Dwight,55
87,Darryl,23
87,Creed,2
87,Andy,43
87,Kelly,6
88,Pam,18
88,Oscar,18
88,Phyllis,6
88,Meredith,1
88,Ryan,11
88,Stanley,4
88,Robert,22
88,Kevin,15
88,Andy,45
88,Jim,16
88,Gabe,10
88,Erin,13
88,Dwight,26
88,Darryl,11
88,Angela,1
88,Kelly,4
89,Toby,3
89,Ryan,3
89,Robert,38
89,Phyllis,3
89,Oscar,11
89,Kevin,2
89,Jim,24
89,Kelly,1
89,Erin,7
89,Dwight,47
89,Darryl,24
89,Creed,2
89,Angela,2
89,Andy,57
89,Gabe,2
91,Meredith,2
91,Stanley,3
91,Ryan,1
91,Phyllis,1
91,Pete,13
91,Pam,19
91,Oscar,8
91,Nellie,10
91,Kevin,7
91,Toby,11
91,Jim,21
91,Kelly,2
91,Angela,16
91,Clark,22
91,Creed,1
91,Andy,33
91,David,1
91,Dwight,42
91,Erin,4
91,Darryl,3
92,Nellie,31
92,Toby,5
92,Stanley,1
92,Phyllis,1
92,Pete,16
92,Pam,32
92,Oscar,5
92,Meredith,1
92,Roy,11
92,Jim,38
92,Erin,31
92,Dwight,31
92,Darryl,10
92,Creed,4
92,Clark,22
92,Angela,7
92,Andy,32
92,Kevin,10
93,Stanley,2
93,Phyllis,3
93,Pete,5
93,Pam,32
93,Oscar,7
93,Nellie,33
93,Meredith,1
93,Jim,19
93,Erin,21
93,Dwight,24
93,Darryl,31
93,Clark,4
93,Angela,2
93,Andy,44
93,Kevin,3
94,Meredith,7
94,Stanley,10
94,Toby,2
94,Pete,2
94,Pam,29
94,Oscar,14
94,Nellie,27
94,Kevin,17
94,Phyllis,5
94,Erin,11
94,Andy,42
94,Angela,5
94,Clark,12
94,Jim,60
94,Darryl,11
94,Dwight,39
94,Creed,3
95,Stanley,2
95,Pete,2
95,Pam,32
95,Oscar,3
95,Nellie,20
95,Meredith,5
95,Kevin,2
95,Toby,4
95,Erin,22
95,Dwight,39
95,Darryl,6
95,Creed,3
95,Clark,5
95,Angela,6
95,Andy,50
95,Jim,35
96,Toby,9
96,Pete,10
96,Pam,11
96,Oscar,27
96,Nellie,16
96,Meredith,3
96,Kevin,22
96,Jim,8
96,Dwight,32
96,David,7
96,Darryl,4
96,Angela,12
96,Andy,54
96,Erin,39
96,Creed,1
97,Toby,5
97,Jim,21
97,Phyllis,14
97,Pete,8
97,Pam,45
97,Oscar,19
97,Nellie,6
97,Meredith,4
97,Kevin,3
97,Jan,25
97,Dwight,52
97,David,6
97,Darryl,3
97,Creed,1
97,Clark,4
97,Angela,21
97,Andy,9
97,Erin,17
98,Toby,8
98,Phyllis,12
98,Pete,23
98,Pam,17
98,Oscar,22
98,Nellie,9
98,Meredith,8
98,Stanley,13
98,Jim,29
98,Erin,6
98,Dwight,57
98,David,3
98,Darryl,6
98,Creed,3
98,Angela,52
98,Kevin,16
99,Toby,11
99,Stanley,5
99,Phyllis,10
99,Pete,22
99,Pam,32
99,Oscar,7
99,Nellie,11
99,Kevin,13
99,Jim,58
99,Erin,24
99,Dwight,57
99,Darryl,16
99,Creed,2
99,Angela,11
99,Meredith,5
199,Pam,53
199,Toby,10
199,Stanley,3
199,Ryan,15
199,Roy,1
199,Todd Packer,7
199,Oscar,16
199,Kelly,2
199,Meredith,5
199,Kevin,6
199,Jim,56
199,Dwight,118
199,Darryl,2
199,Angela,9
199,Michael,152
210,Todd Packer,2
210,Toby,3
210,Ryan,15
210,Roy,8
210,Phyllis,5
210,Pam,16
210,Oscar,8
210,Michael,87
210,Stanley,5
210,Kevin,11
210,Kelly,8
210,Jim,27
210,Dwight,42
210,Darryl,11
210,Creed,4
210,Angela,9
210,Meredith,10
211,Stanley,8
211,Ryan,2
211,Roy,11
211,Phyllis,4
211,Pam,17
211,Oscar,1
211,Meredith,3
211,Kelly,4
211,Jim,29
211,Dwight,22
211,Darryl,3
211,Angela,1
211,Michael,75
212,Oscar,3
212,Toby,7
212,Stanley,4
212,Ryan,13
212,Phyllis,3
212,Pam,56
212,Michael,124
212,Kevin,2
212,Kelly,1
212,Jim,55
212,Dwight,59
212,Creed,1
212,Angela,5
212,Meredith,1
213,Toby,3
213,Stanley,3
213,Ryan,7
213,Phyllis,1
213,Pam,27
213,Michael,92
213,Oscar,9
213,Kelly,5
213,Jim,50
213,Dwight,38
213,Creed,3
213,Angela,5
213,Kevin,8
214,Pam,27
214,Todd Packer,2
214,Toby,1
214,Stanley,2
214,Ryan,13
214,Roy,6
214,Phyllis,1
214,Oscar,5
214,Creed,9
214,Kevin,7
214,Kelly,10
214,Jim,27
214,Dwight,25
214,Darryl,3
214,Angela,2
214,Michael,99
215,Pam,26
215,Phyllis,9
215,Michael,76
215,Stanley,1
215,Roy,15
215,Meredith,5
215,Ryan,2
215,Kelly,9
215,Jim,22
215,Jan,55
215,Dwight,12
215,Darryl,27
215,Kevin,3
215,Angela,5
216,Ryan,4
216,Roy,5
216,Phyllis,3
216,Pam,23
216,Oscar,2
216,Michael,44
216,Meredith,2
216,Kevin,5
216,Kelly,13
216,Jim,16
216,Jan,16
216,Dwight,19
216,David,12
216,Angela,4
217,Toby,4
217,Stanley,5
217,Ryan,7
217,Phyllis,4
217,Pam,19
217,Oscar,3
217,Michael,52
217,Kevin,4
217,Kelly,5
217,Jim,35
217,Dwight,49
217,Creed,4
217,Angela,4
218,Toby,13
218,Stanley,6
218,Ryan,10
218,Roy,1
218,Pam,21
218,Oscar,1
218,Michael,77
218,Meredith,2
218,Kevin,5
218,Kelly,6
218,Jim,17
218,Dwight,22
218,Darryl,1
218,Creed,4
218,Angela,4
219,Toby,8
219,Stanley,3
219,Ryan,3
219,Phyllis,2
219,Pam,26
219,Oscar,7
219,Michael,87
219,Angela,12
219,Kevin,14
219,Kelly,4
219,Jim,22
219,Jan,5
219,Dwight,43
219,Carol,4
219,Meredith,1
220,Toby,5
220,Stanley,6
220,Ryan,7
220,Phyllis,3
220,Pam,14
220,Oscar,6
220,Kevin,5
220,Kelly,5
220,Jim,19
220,Dwight,70
220,Creed,1
220,Angela,5
220,Michael,50
221,Pam,24
221,Toby,21
221,Stanley,4
221,Ryan,4
221,Phyllis,12
221,Oscar,9
221,Angela,13
221,Kevin,3
221,Kelly,2
221,Jim,27
221,Dwight,33
221,Creed,3
221,Michael,87
222,Michael,94
222,Stanley,1
222,Ryan,1
222,Roy,11
222,Phyllis,7
